Complexity,Loss,Equation
1,6.246119,"-0.96889657"
2,6.044927,"cos(x0)"
4,0.44012508,"sin(x0) * x0"
6,0.20128433,"sin(x0 * 1.0843922) * x0"
7,3.7462594e-14,"cos(x0) + (sin(x0) * x0)"
9,3.6019304e-14,"cos(x0) + ((sin(x0) - -2.2097579e-8) * x0)"
15,3.543247e-14,"(sin(x0) * x0) + cos(x0 * (x0 - ((x0 / x0) + x0)))"
16,3.5178705e-14,"(x0 * sin(x0)) + cos(sqrt((x0 + (x0 / x0)) - x0) * x0)"
17,3.5079578e-14,"((sin(x0) * x0) + cos(x0 * (((x0 / x0) + x0) - x0))) - 1.8570171e-8"
18,3.5051823e-14,"(sin(x0) * x0) + cos((x0 * sqrt((x0 + (x0 / x0)) - x0)) - -4.2375177e-8)"
19,3.4671176e-14,"cos((((x0 * x0) / x0) - (x0 + (x0 / x0))) * x0) + (x0 * sin(x0))"
22,3.3945564e-14,"(sin((x0 - -0.07410147) - ((x0 + (-0.13315156 - x0)) + x0)) - 0.20577246) + (cos(x0) + (sin(x0) * x0))"
26,3.390988e-14,"cos((sin(((x0 - x0) - -0.34710553) + (x0 - ((0.55397224 - x0) + (x0 + x0)))) - x0) - -0.20539439) + (sin(x0) * x0)"
