Complexity,Loss,Equation
1,9.339143,"-0.032650705"
2,8.52905,"sin(x0)"
3,0.48525065,"x0 * x1"
5,0.14345856,"(x1 + 0.32167113) * x0"
6,2.7639407e-14,"(x0 * x1) + sin(x0)"
8,2.2949257e-14,"(sin(x0) * 0.99999994) + (x0 * x1)"
10,2.2317199e-14,"(((x1 * x0) + 0.15463993) + sin(x0)) + -0.15463993"
13,2.1392839e-14,"(((sin(x0) * -0.04897971) + sin(x0)) * 1.0515022) + (x0 * x1)"
15,2.063918e-14,"(x0 * x1) + ((sin((x1 * -0.4875115) * x0) * 7.1063084e-8) + sin(x0))"
17,1.935158e-14,"(x1 * x0) + ((sin(x1 + (x0 * (x1 + x0))) * 5.5125202e-8) + sin(x0))"
27,1.8864154e-14,"(x0 * x1) + ((sin((x0 * ((x1 + -0.40300444) + x1)) * sin(exp((x1 + 1.1393981) * 0.7727965) + x0)) * 6.2214035e-8) + sin(x0))"
